RETAILER_ID,PPG_ID,WEEK_START,WEEK_END,DISCOUNT_IDR,DISCOUNT_PCT,PROMO_TYPE,PLANNED_SPEND_IDR,PLANNED_VOLUME_CASES,COVERAGE,PLANNED_HAS_DISPLAY,PLANNED_HAS_FEATURE,STATUS
1,1,2026-10-05,2026-10-11,650,10.00,TPR,69606177,4149,National,FALSE,FALSE,COMPLETED
1,1,2026-10-05,2026-10-11,2145,33.00,TPR+F,124490337,2375,National,FALSE,TRUE,COMPLETED
2,2,2026-10-12,2026-10-18,1235,19.00,TPR+D,78251402,2268,National,TRUE,FALSE,COMPLETED
2,2,2026-10-12,2026-10-18,1950,30.00,TPR+D,36381431,1436,National,TRUE,FALSE,COMPLETED
2,2,2026-10-12,2026-10-18,715,11.00,TPR+D+F,35106314,300,National,TRUE,TRUE,COMPLETED
3,3,2026-10-19,2026-10-25,2275,35.00,TPR,111921108,2440,National,FALSE,FALSE,COMPLETED
3,3,2026-10-19,2026-10-25,1300,20.00,TPR+D,74317035,2378,National,TRUE,FALSE,COMPLETED
3,3,2026-10-19,2026-10-25,910,14.00,TPR+D+F,2517420,3380,National,TRUE,TRUE,COMPLETED
4,4,2026-10-26,2026-11-01,2275,35.00,TPR+F,110990364,1075,Regional,FALSE,TRUE,COMPLETED
4,4,2026-10-26,2026-11-01,2145,33.00,TPR+D,46353915,3435,Regional,TRUE,FALSE,COMPLETED
